"Year" "Month" "County" "Count"
2008 9 "Riverside" 56
2008 10 "Riverside" 63
2008 11 "Riverside" 70
2008 12 "Riverside" 71
2008 1 "Sacramento" 55
2008 2 "Sacramento" 69
2008 3 "Sacramento" 57
2008 4 "Sacramento" 44
2008 5 "Sacramento" 36
2008 6 "Sacramento" 42
2008 7 "Sacramento" 39
2008 8 "Sacramento" 52
2008 9 "Sacramento" 32
2008 10 "Sacramento" 34
2008 11 "Sacramento" 38
2008 12 "Sacramento" 45
2008 1 "San Bernardino" 104
2008 2 "San Bernardino" 100
2008 3 "San Bernardino" 114
2008 4 "San Bernardino" 62
2008 5 "San Bernardino" 64
2008 6 "San Bernardino" 55
2008 7 "San Bernardino" 79
2008 8 "San Bernardino" 54
2008 9 "San Bernardino" 60
2008 10 "San Bernardino" 52
2008 11 "San Bernardino" 67
2008 12 "San Bernardino" 72
2008 1 "San Diego" 108
2008 2 "San Diego" 113
2008 3 "San Diego" 137
2008 4 "San Diego" 111
2008 5 "San Diego" 75
2008 6 "San Diego" 67
2008 7 "San Diego" 86
2008 8 "San Diego" 79
2008 9 "San Diego" 72
2008 10 "San Diego" 70
2008 11 "San Diego" 63
2008 12 "San Diego" 86
2008 1 "Santa Clara" 49
2008 2 "Santa Clara" 50
2008 3 "Santa Clara" 46
2008 4 "Santa Clara" 47
2008 5 "Santa Clara" 44
2008 6 "Santa Clara" 30
2008 7 "Santa Clara" 28
2008 8 "Santa Clara" 32
2008 9 "Santa Clara" 37
2008 10 "Santa Clara" 33
2008 11 "Santa Clara" 29
2008 12 "Santa Clara" 26
2009 1 "Alameda" 44
2009 2 "Alameda" 37
2009 3 "Alameda" 29
2009 4 "Alameda" 40
2009 5 "Alameda" 37
2009 6 "Alameda" 30
2009 7 "Alameda" 45
2009 8 "Alameda" 36
2009 9 "Alameda" 25
2009 10 "Alameda" 36
2009 11 "Alameda" 34
2009 12 "Alameda" 37
2009 1 "Los Angeles" 280
2009 2 "Los Angeles" 283
2009 3 "Los Angeles" 291
2009 4 "Los Angeles" 270
2009 5 "Los Angeles" 257
2009 6 "Los Angeles" 261
2009 7 "Los Angeles" 226
2009 8 "Los Angeles" 216
2009 9 "Los Angeles" 196
2009 10 "Los Angeles" 286
2009 11 "Los Angeles" 254
2009 12 "Los Angeles" 263
2009 1 "Orange" 92
2009 2 "Orange" 74
2009 3 "Orange" 96
2009 4 "Orange" 79
2009 5 "Orange" 76
2009 6 "Orange" 67
2009 7 "Orange" 69
2009 8 "Orange" 71
2009 9 "Orange" 53
2009 10 "Orange" 73
2009 11 "Orange" 67
2009 12 "Orange" 88
2009 1 "Riverside" 82
2009 2 "Riverside" 75
2009 3 "Riverside" 85
2009 4 "Riverside" 81
2009 5 "Riverside" 80
2009 6 "Riverside" 66
2009 7 "Riverside" 52
2009 8 "Riverside" 52
2009 9 "Riverside" 58
2009 10 "Riverside" 81
2009 11 "Riverside" 59
2009 12 "Riverside" 81
2009 1 "Sacramento" 56
2009 2 "Sacramento" 42
2009 3 "Sacramento" 39
2009 4 "Sacramento" 57
2009 5 "Sacramento" 49
2009 6 "Sacramento" 32
